id,date,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
0,-1.7273103543698591,0.6275992849171117,-0.7270868354428955,-0.7232248002186645,-0.6959133929718379,-0.524694654592662,0.13759711951874362,-0.10753926369650844,-0.9019976881081597,-1.0599273987892757,-0.6387778350809074,0.0
1,-1.7178269474444272,0.0026771979197788604,-1.0075301399489278,-0.8467630687256718,-0.9495391219780981,-0.4492884458656094,0.8634800136583282,0.21089412024529272,-0.9273960455265989,0.8081501489282653,1.8254264695250355,1.0
2,-1.7083435405189953,0.48280026475919563,-1.6432016301626011,-1.4549514675293995,-1.297100306171862,-1.3625414182265785,-0.49418984389904297,-1.2857427842811726,-0.11464860813654222,0.9949579037000195,0.6617744367944518,0.0
3,-1.6988601335935634,0.6428412870390012,-1.2505810038541558,-1.2173778742466934,-1.2689196696156109,-1.2619998065905087,-0.8638524288775352,-0.33044263245576927,-1.0797861900372345,-1.2467351535610298,-1.3232790308047804,0.0
4,-1.6893767266681314,0.177960222321474,-1.2225366734035528,-0.9798042809639871,-0.8556036667905943,-0.44090997822927014,1.4885458391674147,1.643844347983398,-1.4861599087322628,-1.0599273987892757,0.1826235997877405,1.0
5,-1.6798933197426995,-0.04304880844587245,-1.119707461751341,-1.0843366620083779,-1.2595261240968607,-0.5917223956833751,1.1726523574585221,0.9751342417056155,-1.4607615513138237,0.8081501489282653,1.346275632518325,1.0
6,-1.6704099128172676,0.5894942796123964,-2.0451703666212477,-2.025128091407894,-2.0016162200781404,-1.8401140734979111,-0.7092662569774386,-0.6170326780033902,-0.08925025071810305,0.9949579037000195,1.5516259912354866,0.0
7,-1.6609265058918357,0.559010275368626,-1.6618978504630035,-1.6069985672303315,-1.5413324896593719,-1.1028089215000643,0.8097109103887294,-0.012009248513968097,-0.7242091861790848,-1.2467351535610298,-0.09117687850180896,1.0
8,-1.6514430989664037,0.47517926369825086,-1.5590686388107917,-1.426442636335475,-1.4286099434343673,-1.1028089215000643,0.13759711951874362,0.6885441961579944,-1.4607615513138237,-1.2467351535610298,-0.7072279546532947,0.0
9,-1.6419596920409718,0.6885672934046525,-1.4375432068581775,-1.3219102552910842,-1.3158873972093628,-1.0776735185910469,0.1241548437013437,-0.4578159860324897,-0.19084368039186023,0.8081501489282653,0.3879739585049023,1.0
10,-1.6324762851155399,0.795261308257862,-1.1944923429529495,-1.2648925929032346,-1.5319389441406215,-1.086051986227386,-0.23878660336844856,0.14720744345693249,-0.31783546748405656,-1.0599273987892757,-0.36497735679135784,0.0
11,-1.622992878190108,0.23130722974807008,-1.1757961226525473,-0.894277787382213,-0.6207650288218348,-0.3655037695022177,1.3675653568108175,1.5164709944066774,-1.4861599087322628,-1.0599273987892757,-0.022726758929421293,1.0
12,-1.613509471264676,-0.004943803141157249,-1.2786253343047593,-1.1793660993214605,-1.0622616682031025,-0.5749654604106968,1.5019881149848147,1.6120010095892179,-1.4861599087322628,0.8081501489282653,0.25107371936012757,1.0
13,-1.604026064339244,0.47517926369825086,-1.5497205286605904,-1.3789279176789335,-1.1092293957968544,-0.9603749716822986,0.480375152862436,1.1980376104648762,-1.4353631938953844,0.8081501489282653,-0.5018775959361326,0.0
14,-1.5945426574138122,0.703809295526542,-1.3440621053561668,-1.3504190864850087,-1.3252809427281131,-1.0274027127730119,0.22497191233184158,-0.3941293092441295,-0.5718190416684491,0.9949579037000195,-1.1179286720876185,0.0
15,-1.5850592504883803,0.4980422668810765,-1.2318847835537539,-1.2268808179780017,-1.0716552137218531,-0.9184826335006027,0.27874101560144027,-0.7125626931859307,-0.19084368039186023,0.8081501489282653,0.45642407807728935,0.0
16,-1.5755758435629483,0.36848524884505,-1.2973215546051613,-1.3314131990223923,-1.2783132151343612,-0.9101041658642636,0.6080767731277337,-0.9673094003393715,-0.5972173990868884,0.8081501489282653,-0.4334274763637455,0.0
17,-1.5660924366375164,0.36848524884505,-1.4375432068581775,-1.4169396926041666,-1.344068033765614,-1.1028089215000643,0.2720198776927408,-1.5404894914346137,0.06313989379253249,0.8081501489282653,-0.2965272372189708,0.0
18,-1.5566090297120845,0.3532432467231605,-1.7647270621152154,-1.6925250608121056,-1.5695131262156228,-1.2117290007724735,0.6484036005799325,1.0069775800997955,-1.4607615513138237,0.8081501489282653,1.414725752090712,1.0
19,-1.5471256227866526,1.1839323623659501,-2.1573476884236604,-2.053636922601819,-1.9358614014468878,-1.781464800043537,-0.4000939131772451,-1.2857427842811726,0.16473332346628966,0.8081501489282653,0.9355749150840006,0.0
20,-1.5376422158612206,1.6716764302663116,-1.8956006042180307,-1.9110927666321955,-1.9546484924843883,-1.74795092949818,-0.6689394295252394,-1.349429461069533,0.08853825121097189,0.8081501489282653,-0.15962699807419603,0.0
21,-1.5281588089357887,1.0772383475127494,-1.502979977909585,-1.4834602987233243,-1.49436476206562,-1.220107468408813,0.09054915415784441,1.2935676256474167,-1.2575746919663093,-1.0599273987892757,-0.775678074225682,1.0
22,-1.5186754020103568,0.5742522774905069,-0.9607895891979225,-1.0178160558892202,-0.9683262130155987,-0.633614733865071,0.7626629450278303,0.14720744345693249,-0.16544532297342082,-1.0599273987892757,-0.15962699807419603,1.0
23,-1.5091919950849249,0.9781653337204933,-1.6338535200124003,-1.5214720736485572,-1.4755776710281192,-1.2284859360451519,-0.010267914472653461,-0.07569592530232833,-0.4702256119946921,0.9949579037000195,0.45642407807728935,0.0
